Scenario,Moisture (%),Volatile matter (%),Ash (%),Fixed carbon (%),Carbohydrate (%),Protein (%),Lipid (%),C (%),H (%),N (%),O (%),S (%),HHV (MJ/kg)
Household,72.52,82.39,5.58,12.03,12.5,13.53,10.6,48.76,6.29,3.85,40.69,0.41,18.65
Restaurant,75.7,81.72,6.11,12.17,35.33,21.39,25.0,48.63,6.5,3.41,41.17,0.29,20.23
Institutional,60.85,84.31,5.01,10.68,42.11,18.9,13.58,46.72,6.28,3.7,42.93,0.37,22.69
Retail,61.08,80.79,7.73,11.48,11.57,25.51,31.57,50.09,6.58,4.09,38.89,0.35,24.74
Market,89.18,75.14,12.0,12.86,52.94,12.37,3.0,46.07,5.7,2.86,44.91,0.46,13.5
